school_code,postal_code,city,name
0170715K,17210,Montlieu-la-Garde,Ecole primaire publique Grains de Sable Montlieu la Garde
0190143C,19100,Brive-la-Gaillarde,Ecole élémentaire Louis Pons
0190156S,19100,Brive-la-Gaillarde,Ecole élémentaire Thérèse Simonet
0190169F,19360,Malemort,Ecole élémentaire Jules Ferry
0190728N,19360,Malemort,Ecole maternelle La Grande Borie
0195010T,19000,Tulle,Ecole élémentaire Turgot
0211611M,21800,Neuilly-Crimolois,ECOLE ELEMENTAIRE PUBLIQUE     ROBERT CHALANDRE
0500346E,50100,Cherbourg-en-Cotentin,Ecole élémentaire Gibert-Zola
0500378P,50220,Ducey-Les Chéris,Ecole élémentaire Victor Hugo
0500521V,50110,Cherbourg-en-Cotentin,Ecole maternelle Jean Zay
0501149C,50300,Avranches,Ecole primaire André Parisy
0501381E,50330,Saint-Pierre-Eglise,Ecole primaire privée Notre-Dame
0501470B,50460,Cherbourg-en-Cotentin,Ecole élémentaire Les Courlis
0501497F,50110,Cherbourg-en-Cotentin,Ecole élémentaire Jean Zay
0501654B,50470,Cherbourg-en-Cotentin,Ecole primaire Louis Lucas  de Nehou
0501680E,50100,Cherbourg-en-Cotentin,Ecole primaire Jean Jaurès
0501815B,50600,Saint-Hilaire-du-Harcouët,Ecole élémentaire Lecroisey
0501871M,50300,Avranches,Ecole primaire Pierre Mendes-France
0530325R,53100,Mayenne,Ecole primaire Paul Eluard
0542522Y,54430,Réhon,Ecole Alternative Timéléon
0550820T,55170,Cousances-les-Forges,Ecole élémentaire publique Les Fusains
0551067L,55130,Houdelaincourt,Ecole primaire publique Des Quatre Vents
0551072S,55400,Buzy-Darmont,Ecole primaire publique Jean Ferrat
0572550M,57300,Trémery,Ecole maternelle La Clairière
0573257F,57710,Tressange,Ecole primaire les Crayons Magiques
0590792R,59180,Cappelle-la-Grande,Groupe scolaire Jean Jaurès
0591068R,59121,Prouvy,Ecole primaire Maurice Noiret
0593301T,59240,Dunkerque,Ecole maternelle Paul Bert
0593819F,59130,Lambersart,Ecole primaire privée Sainte Odile
0593858Y,59200,Tourcoing,Ecole primaire privée Sainte Lucie
0594085V,59270,Saint-Jans-Cappel,Ecole primaire privée Saint Joseph
0594087X,59211,Santes,Ecole primaire privée Notre Dame du Perpétuel Secours - Sainte Thérèse
0595500H,59240,Dunkerque,Ecole maternelle Charles Péguy
0596494N,59400,Cambrai,Ecole élémentaire privée Saint François
0596637U,59125,Trith-Saint-Léger,Ecole primaire Gustave Eiffel
0596651J,59171,Hornaing,Ecole élémentaire publique Paul Lafargue - Paul Langevin
0600707T,60200,Compiègne,Ecole élémentaire Hammel
0601461M,60200,Compiègne,Ecole maternelle Charles Faroux 1
0610651B,61600,Les Monts d'Andaine,école élémentaire Pierre Bourdan
0610667U,61140,Bagnoles de l'Orne Normandie,Groupe scolaire Lancelot
0610802R,61210,Putanges-le-Lac,Ecole primaire Putanges Pont Ecrépin
0610845M,61000,Alençon,Ecole primaire privée Notre-Dame de L'Assomption
0610857A,61430,Athis-Val de Rouvre,Ecole primaire privée Sacré-Coeur
0610866K,61120,Vimoutiers,Ecole primaire privée Notre-Dame
0610909G,61600,La Ferté Macé,Ecole primaire Jacques Prévert
0611070G,61700,Domfront en Poiraie,Ecole primaire Saint-Front (Domfront)
0611168N,61000,Alençon,Ecole primaire Courteille
0620744X,62118,Biache-Saint-Vaast,Ecole primaire Groupe la Fontaine
0622666L,62190,Lillers,Ecole primaire privée Notre-Dame
0622728D,62200,Boulogne-sur-Mer,Ecole primaire privée Sainte Thérèse
0641291F,64500,Ciboure,ECOLE PRIMAIRE PRIVEE SAINT MICHEL
0641361G,64500,Saint-Jean-de-Luz,ECOLE PRIMAIRE PRIVEE DONIBANE - STE FAMILLE D'URQUIJO
0641785T,64000,Pau,Ecole primaire Les Fleurs
0641905Y,64300,Orthez,ECOLE PRIMAIRE PRIVEE CALANDRETA
0641906Z,64000,Pau,ECOLE PRIMAIRE PRIVEE CALANDRETA
0642088X,64110,Gelos,Ecole primaire privée la chanterie Saint Joseph
0651081X,65240,Arreau,ECOLE PRIMAIRE PUBLIQUE ARREAU
0651086C,65700,Lafitole,ECOLE PRIMAIRE RPI LAFITOLE
0651090G,65100,Lourdes,ECOLE PRIMAIRE LAPACCA
0660820H,66500,Prades,Ecole primaire privée la Bressola
0670431E,67000,Strasbourg,Ecole primaire Robertsau
0671487C,67600,Sélestat,Ecole maternelle Froebel
0671821R,67500,Haguenau,Ecole primaire privée des Missions Africaines
0672998V,67000,Strasbourg,Ecole maternelle privée Gan Chalom
0673016P,67000,Strasbourg,Ecole européenne de Strasbourg (P)
0673087S,67300,Schiltigheim,Ecole élémentaire la Mosaïque
0680458D,68720,Eglingen,Ecole primaire Balschwiller-Buethwiller-Eglin
0690442F,69220,Belleville-en-Beaujolais,Ecole maternelle Jean Macé
0690732W,69290,Craponne,Ecole élémentaire Centre
0691938G,69130,Ecully,Ecole primaire privée Sainte Blandine
0691939H,69760,Limonest,Ecole primaire privée Saint Martin
0692021X,69250,Neuville-sur-Saône,Ecole primaire privée Notre Dame de Bellegarde
0692120E,69160,Tassin-la-Demi-Lune,Ecole primaire privée Saint Charles
0692613R,69220,Belleville-en-Beaujolais,Ecole élémentaire Mathieu Dumoulin
0692735Y,69400,Gleizé,Ecole maternelle La Chartonnière
0692862L,69400,Gleizé,Ecole élémentaire La Chartonnière
0693063E,69230,Saint-Genis-Laval,Ecole primaire privée Rudolf Steiner
0693384D,69530,Brignais,Ecole élémentaire Jean Moulin
0693535T,69220,Belleville-en-Beaujolais,Ecole élémentaire Jean Macé
0693629V,69190,Saint-Fons,Ecole primaire Jules Vallès
0693847G,69530,Brignais,ANDRE LASSAGNE
0693954Y,69007,Lyon 7e  Arrondissement,Ecole primaire Jean-Pierre Veyet
0693980B,69256,Lyon 9e  Arrondissement,Ecole primaire La Sauvagère
0694113W,69003,Lyon 3e  Arrondissement,Ecole primaire Aimé Césaire
0694259E,69200,Vénissieux,Ecole primaire publique Flora Tristan
0700471G,70400,Héricourt,Ecole maternelle Jules Ferry
0700870R,70220,Fougerolles-Saint-Valbert,Ecole primaire Les Fougères
0711874B,71160,Digoin,CENTRE
0720974T,72800,Le Lude,Ecole maternelle Georges Brassens
0721145D,72220,Saint-Gervais-en-Belin,Ecole primaire privée Sainte Anne-Saint Joseph
0721154N,72200,La Flèche,Ecole primaire privée Sacré-Cur-Saint Jacques
0730647G,73210,La Plagne Tarentaise,Ecole élémentaire Montchavin
0731026U,73210,Aime-la-Plagne,Ecole primaire Centron
0740297W,74000,Annecy,Ecole primaire privée La Salle Sainte Marie ANNECY
0740446H,74370,Epagny Metz-Tessy,Ecole primaire publique La Grenette Metz Tessy EPAGNY-METZ TESSY
0740491G,74960,Annecy,Ecole maternelle publique l'Arlequin Cran-Gevrier ANNECY
0740853A,74200,Thonon-les-Bains,Ecole primaire publique Letroz THONON-LES-BAINS
0741042F,74800,La Roche-sur-Foron,Ecole primaire privée Catholique du Foron LA ROCHE SUR FORON
0741110E,74600,Annecy,Ecole primaire publique Du Cep Seynod ANNECY
0741298J,74370,Fillière,Ecole maternelle publique St Martin Bellevue FILLIERE
0741398T,74160,Collonges-sous-Salève,Ecole primaire privée Adventiste Maurice Tièche COLLONGES
0741743T,74200,Thonon-les-Bains,Ecole primaire privée bilingue Montessori ECLI THONON
0750893N,75019,Paris 19e  Arrondissement,E.E.PU GENERAL LASALLE 1 rue du Général Lasalle
0751151U,75014,Paris 14e  Arrondissement,E.E.PU MAURICE D OCAGNE 7 avenue Maurice d'Ocagne
0751258K,75018,Paris 18e  Arrondissement,E.P.PU BELLIARD K 131 rue Belliard
0752639L,75013,Paris 13e  Arrondissement,E.E.PU DUNOIS L 64 rue dunois
0220799Z,22400,Coëtmieux,Ecole primaire publique de Coetmieux
0470694Z,47300,Villeneuve-sur-Lot,Ecole primaire privée Institution Sainte Catherine
0470698D,47440,Casseneuil,Ecole privée Saint Pierre
0711306J,71000,Mâcon,ECOLE PRIMAIRE PUBLIQUE
0940504M,94000,Créteil,Ecole maternelle Savignat
0950094L,95220,Herblay-sur-Seine,Ecole élémentaire Marie Curie
0950863X,95400,Villiers-le-Bel,Ecole primaire privée Saint Didier
9740032S,97410,Saint-Pierre,Ecole maternelle publique Pierre Lagourgue
9740038Y,97420,Le Port,Ecole élémentaire publique Benjamin Hoareau
9740108Z,97429,Petite-Ile,Ecole primaire publique les Platanes
9740124S,97417,Saint-Denis,Ecole primaire publique les Affouches
9740140J,97425,Les Avirons,Ecole élémentaire publique Paul Hermann
9740144N,97412,Bras-Panon,Ecole primaire publique Bellevue
9740146R,97412,Bras-Panon,Ecole primaire publique des Bois de Couleurs
9740148T,97440,Saint-André,Ecole primaire publique Leconte de Lisle
9740158D,97470,Saint-Benoît,Ecole primaire publique André Duchemann
9740168P,97414,Entre-Deux,Ecole primaire publique les Alizés
9740172U,97427,L'Etang-Salé,Ecole élémentaire publique Francis Rivière
9740197W,97437,Saint-Benoît,Ecole maternelle publique les Orangers
9740200Z,97470,Saint-Benoît,Ecole élémentaire publique des Girofles
9740220W,97480,Saint-Joseph,Ecole maternelle publique Centre
9740229F,97480,Saint-Joseph,Ecole primaire publique Parc à  Moutons
9740241U,97400,Saint-Denis,Ecole élémentaire Léon Dierx
9740246Z,97480,Saint-Joseph,Ecole primaire publique des Goyaves
9740252F,97480,Saint-Joseph,Ecole primaire publique Bezaves
9740261R,97436,Saint-Leu,Ecole élémentaire publique St Leu Centre
9740263T,97424,Saint-Leu,Ecole élémentaire publique Stella Matutina
9740264U,97424,Saint-Leu,Ecole élémentaire Piton St Leu A
9740270A,97436,Saint-Leu,Ecole primaire publique Bras Mouton
9740271B,97421,Saint-Louis,Ecole maternelle publique Saint-Exupéry
9740272C,97421,Saint-Louis,Ecole maternelle Albert Lougnon
9740280L,97450,Saint-Louis,Ecole élémentaire publique Henri Lapierre
9740289W,97423,Saint-Paul,Ecole primaire publique  Petite France
9740292Z,97423,Saint-Paul,Ecole maternelle les Fourmis
9740332T,97410,Saint-Pierre,Ecole primaire publique Benjamin Moloise
9740340B,97442,Saint-Philippe,Ecole primaire publique Baril
9740351N,97435,Saint-Paul,Ecole primaire publique Bernica
9740354S,97410,Saint-Pierre,Ecole primaire publique Jean Moulin
9740362A,97432,Saint-Pierre,Ecole élémentaire Edmond Albius
9740366E,97432,Saint-Pierre,Ecole élémentaire publique Leconte De Lisle
9740386B,97430,Le Tampon,Ecole maternelle publique Jules Ferry
9740389E,97430,Le Tampon,Ecole primaire publique Dassy
9740394K,97418,Le Tampon,Ecole primaire publique Grande Ferme
9740397N,97430,Le Tampon,Ecole élémentaire publique Jules Ferry
9740405X,97430,Le Tampon,Ecole élémentaire publique Antoine Lucas
9740409B,97430,Le Tampon,Ecole primaire publique Quatre Cents
9740411D,97430,Le Tampon,Ecole élémentaire publique Iris Hoarau
9740412E,97430,Le Tampon,Ecole Primaire publique Petit Tampon
9740413F,97430,Le Tampon,Ecole Primaire publique Pont d'Yves
9740419M,97426,Les Trois-Bassins,Ecole maternelle publique Bois de Nèfles
9740424T,97438,Sainte-Marie,Ecole primaire Albert Montlivet
9740429Y,97439,Sainte-Rose,Ecole élémentaire Piton Sainte-Rose
9740432B,97439,Sainte-Rose,Ecole primaire publique Bois Blanc
9740441L,97413,Cilaos,Ecole primaire publique Bras Sec
9740447T,97413,Cilaos,Ecole primaire publique  Centre
9740459F,97440,Saint-André,Ecole primaire Raphaël Vidot
9740539T,97441,Sainte-Suzanne,Ecole primaire la Marine
9740584S,97450,Saint-Louis,Ecole élémentaire publique Pablo Picasso
9740608T,97424,Saint-Leu,Ecole maternelle Stella
9740630S,97400,Saint-Denis,Ecole maternelle publique des Rubis
9740636Y,97442,Saint-Philippe,Ecole primaire Basse Vallée
9740665E,97417,Saint-Denis,Ecole maternelle Saint-Bernard
9740670K,97460,Saint-Paul,Ecole maternelle Etang Saint-Paul
9740689F,97400,Saint-Denis,Ecole maternelle la Source
9740694L,97438,Sainte-Marie,Ecole élémentaire Duparc
9740700T,97490,Saint-Denis,Ecole maternelle Damase Legros
9740708B,97490,Saint-Denis,Ecole maternelle les Jacarandas
9740711E,97450,Saint-Louis,Ecole maternelle Desforges Boucher
9740712F,97411,Saint-Paul,Ecole maternelle Combavas
9740713G,97490,Saint-Denis,Ecole maternelle publique les Bancouliers
9740715J,97439,Sainte-Rose,Ecole maternelle publique Centre Sainte Rose
9740749W,97450,Saint-Louis,Ecole maternelle Roland Garros
9740750X,97450,Saint-Louis,Ecole maternelle publique Robert Debré
9740752Z,97438,Sainte-Marie,Ecole maternelle publique Duparc
9740794V,97400,Saint-Denis,Ecole maternelle publique Gisèle Calmy
9740825D,97419,La Possession,Ecole maternelle publique Jacques Duclos
9740832L,97470,Saint-Benoît,Ecole élémentaire publique Odile Elie
9740891A,97420,Le Port,Ecole primaire publique  Françoise Dolto
9740893C,97411,Saint-Paul,Ecole primaire publique Arthur Attache
9740902M,97419,La Possession,Ecole maternelle publique Auguste Lacaussade
9740926N,97490,Saint-Denis,Ecole élémentaire publique Alain Lorraine
9740977U,97490,Saint-Denis,Ecole élémentaire publique les Bringelliers
9741064N,97434,Saint-Paul,Ecole maternelle publique Carrosse
9741179N,97430,Le Tampon,Ecole maternelle publique 17ème km
9741198J,97490,Saint-Denis,Ecole élémentaire publique Damase Legros
9741222K,97419,La Possession,Ecole primaire publique André Bègue
9741229T,97416,Saint-Leu,Ecole primaire des Camélias
9741240E,97421,Saint-Louis,Ecole élémentaire  publique Adrienne Lenormand
9741241F,97434,Saint-Paul,Ecole maternelle publique Anne Mousse
9741251S,97419,La Possession,Ecole élémentaire publique André Malraux
9741257Y,97450,Saint-Louis,Ecole maternelle publique Edmond Albius
9741309E,97450,Saint-Louis,Ecole élémentaire publique René Périanayagom
9741318P,97441,Sainte-Suzanne,Ecole élémentaire publique José Barau
9741326Y,97438,Sainte-Marie,Ecole maternelle publique les Gaspards
9741535A,97450,Saint-Louis,Ecole maternelle publique Paul Salomon 1
9741536B,97450,Saint-Louis,Ecole élémentaire publique Paul Salomon II
