school_code,postal_code,city,name
0551003S,55320,Sommedieue,Ecole primaire publique
0551013C,55100,Verdun,Ecole primaire publique Glorieux
0561930U,56000,Vannes,ECOLE PRIMAIRE PRIVEE
0561953U,56700,Hennebont,Ecole de l'Esperance - Hennebont
0570181M,57245,Peltre,Ecole primaire privée Notre-Dame
0570338H,57690,Guinglange,Ecole primaire
0570377A,57930,Mittersheim,Ecole primaire Catholique
0570395V,57635,Vieux-Lixheim,Ecole primaire
0570397X,57370,Schalbach,Ecole primaire interconfessionnelle
0570413P,57320,Tromborn,Ecole primaire
0570424B,57580,Arriance,Ecole primaire
0570428F,57690,Créhange,Ecole primaire du Pré Vert
0570429G,57690,Créhange,Ecole primaire Cité La Forêt
0570448C,57140,Woippy,Ecole maternelle Centre Jeunes Sourires
0570465W,57140,Norroy-le-Veneur,Ecole maternelle
0570512X,57340,Bermering,Ecole primaire
0570556V,57170,Pettoncourt,Ecole primaire Jean de La Fontaine
0570586C,57790,Hattigny,Ecole primaire
0570619N,57850,Dabo,Ecole primaire La Hoube
0570635F,57820,Hultehouse,Ecole primaire
0570651Y,57260,Guermange,Ecole primaire
0570659G,57810,Réchicourt-le-Château,Ecole primaire
0570694V,57220,Hinckange,Ecole primaire
0570703E,57220,Gomelange,Ecole primaire
0570706H,57220,Coume,Ecole primaire
0570751G,57320,Ebersviller,Ecole élémentaire Centre
0570778L,57220,Volmerange-lès-Boulay,Ecole primaire le Pâtural
0570800K,57290,Fameck,Ecole maternelle Schweitzer
0570813Z,57350,Schoeneck,Ecole maternelle Les Bouleaux
0570816C,57540,Petite-Rosselle,Ecole maternelle La Farandole
0570837A,57200,Bliesbruck,Ecole maternelle
0570845J,57200,Sarreguemines,Ecole maternelle Blauberg
0570880X,57450,Farébersviller,Ecole maternelle Village Charles Perrault
0570886D,57500,Saint-Avold,Ecole maternelle Crusem
0570924V,57970,Yutz,Ecole maternelle Pasteur
0570925W,57970,Yutz,Ecole maternelle Schuman
0570929A,57970,Yutz,Ecole maternelle Charles Péguy
0570933E,57520,Rouhling,Ecole maternelle Louis Pasteur
0570960J,57250,Moyeuvre-Grande,Ecole maternelle République
0570961K,57250,Moyeuvre-Grande,Ecole maternelle Les Marronniers
0570964N,57185,Clouange,Ecole maternelle Centre
0570986M,57920,Buding,Ecole primaire
0571013S,57570,Puttelange-lès-Thionville,Ecole primaire Charles d'Huart
0571036S,57230,Bitche,Ecole primaire 1
0571069C,57200,Frauenberg,Ecole primaire
0571167J,57160,Moulins-lès-Metz,Ecole maternelle Paul Verlaine
0571178W,57580,Ancerville,Ecole primaire
0571249Y,57480,Montenach,Ecole primaire
0571279F,57050,Le Ban-Saint-Martin,Ecole primaire Verlaine 1
0571300D,57050,Metz,Ecole maternelle La Flute Enchantée
0571374J,57660,Lelling,Ecole primaire
0571387Y,57660,Erstroff,Ecole primaire
0571407V,57260,Guébling,Ecole primaire
0571409X,57260,Gelucourt,Ecole primaire
0571435A,57240,Knutange,Ecole primaire Burger 1
0571583L,57930,Mittersheim,Ecole maternelle
0571868W,57470,Guenviller,Ecole primaire
0571927K,57420,Saint-Jure,Ecole primaire
0571934T,57420,Pommérieux,Ecole primaire
0571974L,57580,Sorbey,Ecole primaire
0572104C,57185,Clouange,Ecole primaire Le Grand Ban
0572142U,57050,Metz,Ecole maternelle Michel Colucci
0572155H,57120,Rombas,Ecole maternelle Ville-Basse Chanteclair
0572194A,57370,Mittelbronn,Ecole primaire
0572230P,57550,Dalem,Ecole primaire
0572237X,57820,Lutzelbourg,Ecole primaire
0572244E,57420,Fleury,Ecole primaire Chagall intercommunale
0572245F,57510,Rémering-lès-Puttelange,Ecole primaire
0572319L,57390,Rédange,Ecole primaire J.J .Welter
0572377Z,57230,Eguelshardt,Ecole primaire privée Etoile du Matin
0572378A,57370,Phalsbourg,Ecole primaire privée Saint Antoine
0572383F,57000,Metz,Ecole primaire privée St Etienne
0572432J,57280,Fèves,Ecole primaire
0572434L,57970,Basse-Ham,Ecole maternelle Saint-Louis
0572444X,57540,Petite-Rosselle,Ecole maternelle Les Marronniers
0572457L,57700,Neufchef,Ecole maternelle Alphonse Daudet
0572524J,57820,Henridorff,Ecole primaire
0572545G,57800,Freyming-Merlebach,Ecole maternelle Arc en Ciel
0572633C,57250,Moyeuvre-Petite,Ecole primaire
0572646S,57070,Metz,Ecole maternelle Borny Domaine Fleuri
0572649V,57290,Fameck,Ecole maternelle Henri Des
0572655B,57970,Yutz,Ecole maternelle Jean Moulin
0572657D,57990,Hundling,Ecole maternelle
0572686K,57400,Langatte,Ecole primaire
0572714R,57360,Amnéville,Ecole maternelle La Forêt
0572716T,57240,Knutange,Ecole maternelle Les Acacias
0572722Z,57200,Bliesbruck,Ecole primaire
0572723A,57635,Lixheim,Ecole primaire
0572734M,57410,Lambach,Ecole primaire les Hirondelles
0572771C,57070,Metz,Ecole primaire Borny Centre Pergaud
0572773E,57340,Virming,Ecole maternelle
0572786U,57670,Guinzeling,Ecole maternelle
0572865E,57290,Fameck,Ecole primaire Pasteur
0572867G,57515,Alsting,Ecole primaire Pasteur
0572883Z,57970,Yutz,Ecole maternelle Fritsch
0572887D,57310,Bertrange,Ecole primaire
0572888E,57655,Boulange,Ecole primaire Hugo
0572899S,57155,Marly,Ecole primaire Henrion
0572909C,57200,Sarreguemines,Ecole primaire Folpersviller
0572910D,57455,Seingbouse,Ecole primaire
0572944R,57600,Morsbach,Ecole primaire Erckmann-Chatrian
0572979D,57140,La Maxe,Ecole primaire
0573010M,57865,Amanvillers,Ecole primaire
0573029H,57412,Achen,Ecole primaire
0573036R,57730,Valmont,Ecole maternelle Ebersborn
0573046B,57730,Valmont,Ecole primaire du Stade
0573054K,57300,Hagondange,Ecole primaire La Ballastière
0573085U,57970,Illange,Ecole primaire
0573119F,57540,Petite-Rosselle,Ecole primaire Vieille Verrerie
0573125M,57600,Oeting,Ecole primaire Piette
0573129S,57530,Courcelles-Chaussy,Ecole primaire P. Rousselot
0573131U,57530,Laquenexy,Ecole maternelle
0573149N,57175,Gandrange,Ecole primaire Verlaine
0573158Y,57500,Saint-Avold,Ecole primaire Crusem
0573160A,57970,Stuckange,Ecole primaire
0573167H,57250,Moyeuvre-Grande,Ecole primaire Centre
0573183A,57930,Berthelming,Ecole primaire
0573188F,57500,Saint-Avold,Ecole primaire Huchet
0573189G,57400,Sarrebourg,Ecole primaire Pons Saravi
0573193L,57130,Vaux,Ecole maternelle
0573194M,57070,Metz,Ecole maternelle Grigy G. aux Bois Symphonie
0573229A,57120,Pierrevillers,Ecole primaire Le Ruissembeau
0573237J,57370,Metting,Ecole maternelle interconfessionnelle
0573260J,57510,Holving,Ecole maternelle
0573264N,57920,Aboncourt,Ecole maternelle
0573265P,57800,Cocheren,Ecole primaire Frères Lerond
0573273Y,57510,Holving,Ecole primaire
0573276B,57420,Goin,Ecole maternelle
0573311P,57280,Maizières-lès-Metz,Ecole primaire Brieux
0573312R,57200,Sarreguemines,Ecole primaire Montagne Supérieure
0573324D,57450,Cappel,Ecole maternelle
0573337T,57650,Fontoy,Ecole primaire Centre
0573352J,57700,Hayange,Ecole maternelle Pasteur
0573355M,57730,Folschviller,Ecole primaire Musset
0573357P,57730,Macheren,Ecole primaire Cité Petit Ebersviller
0573374H,57400,Sarraltroff,Ecole maternelle
0573405S,57855,Saint-Privat-la-Montagne,Ecole primaire Canrobert
0573421J,57410,Bining,Ecole primaire
0573449P,57800,Betting,Ecole maternelle Jean de La Fontaine
0573455W,57230,Liederschiedt,Ecole maternelle franco-allemande
0573462D,57700,Hayange,Ecole primaire Saint-Nicolas-en-Forêt Le Jura
0573468K,57600,Forbach,Ecole primaire Bellevue
0573503Y,57410,Siersthal,Ecole élémentaire
0573509E,57270,Uckange,Ecole maternelle Verlaine
0573553C,57412,Kalhausen,Ecole élémentaire
0573556F,57590,Aulnois-sur-Seille,Ecole élémentaire des Armoises
0573563N,57050,Metz,Ecole élémentaire Château Aumiot mixte
0573571X,57140,Woippy,Ecole maternelle La Cerisaie
0573584L,57930,Postroff,Ecole élémentaire
0573598B,57600,Forbach,école primaire Marienau
0573605J,57420,Cheminot,école primaire des Caminetois
0573614U,57410,Bettviller,école primaire Jean Gutenberg
0573629K,57000,Metz,école maternelle les coccinelles
0020254R,02300,Chauny,Ecole maternelle Chardonnier-Lejeune
0573666A,57070,Metz,école maternelle Vallières les Sources
0020260X,02300,Chauny,Ecole maternelle Groupe scolaire Renan
0573668C,57580,Béchy,école primaire de BECHY
0020267E,02370,Chavonne,Ecole maternelle
0573670E,57490,L'Hôpital,école primaire Josef Ley
0020281V,02400,Chierry,Ecole primaire
0573685W,57200,Sarreguemines,école élémentaire privée ABCM Beausoleil
0020325T,02800,Anguilcourt-le-Sart,Ecole primaire
0573697J,57350,Stiring-Wendel,école primaire de Vieux Stiring
0020330Y,02500,Any-Martin-Rieux,Ecole primaire
0573708W,57430,Willerwald,école primaire de WILLERWALD
0020337F,02480,Artemps,Ecole maternelle
0573711Z,57100,Thionville,école primaire Volkrange
0020354Z,02120,Audigny,Ecole maternelle
0573749R,57470,Hombourg-Haut,Groupe scolaire  Simon Batz
0020408H,02400,Epaux-Bézu,Ecole primaire
0573750S,57190,Florange,Ecole élémentaire Trait d'Union
0020455J,02800,La Fère,Ecole primaire Jean Mermoz
0573768L,57640,Argancy,Ecole élémentaire privée Marcel Van
0020522G,02520,Flavy-le-Martel,Ecole primaire du Centre
0020564C,02820,Corbeny,Ecole primaire
0020577S,02220,Courcelles-sur-Vesle,ECOLE MATERNELLE
0020656C,02250,Marcy-sous-Marle,Ecole maternelle P. Braillon
0580119P,58300,Devay,Ecole primaire
0020658E,02300,Marest-Dampcourt,Ecole primaire de Marest Centre
0580138K,58300,Champvert,Ecole primaire
0020672V,02820,Mauregny-en-Haye,Ecole primaire
0580163M,58330,Saxi-Bourdon,Ecole primaire
0020702C,02270,Monceau-lès-Leups,Ecole primaire
0580211P,58500,Billy-sur-Oisy,Ecole maternelle
0020747B,02300,Quierzy,Ecole primaire
0580298J,58190,Tannay,Ecole primaire
0020785T,02210,Rozet-Saint-Albin,Ecole primaire
0580300L,58190,Teigny,Ecole primaire
0020810V,02330,Saint-Eugène,Ecole primaire
0580328S,58000,Nevers,Ecole élémentaire La barre/La Manutention
0020824K,02300,Saint-Paul-aux-Bois,Ecole primaire
0580338C,58000,Nevers,Ecole primaire mouesse
0020834W,02100,Saint-Quentin,Ecole primaire Eugene Corrette
0580359A,58120,Château-Chinon (Ville),Ecole maternelle Jacques Prévert
0020891H,02200,Pasly,Ecole primaire Robert Lengele
0580364F,58340,Cercy-la-Tour,Ecole maternelle publique
0020903W,02320,Pinon,Ecole primaire Louis Aragon
0580373R,58600,Garchizy,Ecole maternelle Paul Eluard et Guy Moquet
0020905Y,02320,Pinon,Ecole maternelle
0580417N,58150,Garchy,Ecole maternelle
0020917L,02160,Pontavert,Ecole primaire Vallée des Deux Cantons
0580436J,58440,Myennes,Ecole primaire
0020955C,02880,Juvigny,Ecole primaire
0580459J,58310,Saint-Amand-en-Puisaye,Ecole primaire
0020975Z,02000,Laon,Ecole primaire Bois de Breuil
0580460K,58150,Saint-Andelain,Ecole primaire
0020976A,02000,Laon,Ecole maternelle de La Cité
0580464P,58150,Saint-Laurent-l'Abbaye,Ecole primaire
0020986L,02000,Laon,Ecole maternelle Anatole France
0580469V,58200,Saint-Père,Ecole primaire
0020988N,02000,Laon,Ecole primaire Champfleury
0580471X,58150,Tracy-sur-Loire,Ecole primaire
0020993U,02000,Laon,Ecole primaire de Vaux
0580481H,58150,Vielmanay,Ecole élémentaire
0020999A,02150,Lappion,Ecole primaire
0580519Z,58240,Luthenay-Uxeloup,Ecole primaire
0021006H,02140,Lemé,Ecole primaire
0580547E,58410,Entrains-sur-Nohain,Ecole maternelle
0021010M,02100,Lesdins,Ecole primaire Gérard Frison
0021017V,02380,Leuilly-sous-Coucy,Ecole maternelle
0021102M,02600,Haramont,Ecole maternelle
0580616E,58200,Cosne-Cours-sur-Loire,Ecole primaire Pierre et Marie Curie
0021127P,02500,Hirson,Ecole maternelle Champs-Elysées
0580636B,58470,Saincaize-Meauce,Ecole élémentaire
0021150P,02200,Septmonts,Ecole élémentaire
0580644K,58800,Cervon,Ecole primaire
0021165F,02220,Sermoise,Ecole primaire
0580645L,58660,Coulanges-lès-Nevers,Ecole élémentaire André Malraux
0021174R,02300,Sinceny,Ecole maternelle
0580656Y,58310,Arquian,Ecole primaire
0021191J,02200,Soissons,Ecole primaire Saint-Crépin 2
0580673S,58000,Saint-Eloi,Ecole élémentaire
0021213H,02600,Taillefontaine,Ecole primaire
0580688H,58640,Varennes-Vauzelles,Ecole maternelle Jacques Prévert
0021274Z,02420,Vendhuile,Ecole primaire
0580691L,58250,Fours,Ecole primaire publique
0021291T,02000,Verneuil-sur-Serre,Ecole primaire
0580714L,58300,Decize,Ecole primaire Centre ville
0021322B,02300,Villequier-Aumont,Ecole primaire
0580723W,58660,Coulanges-lès-Nevers,Ecole primaire Les saules
0021330K,02600,Villers-Cotterêts,Ecole primaire Moncond Huy 1
0021337T,02590,Villers-Saint-Christophe,Ecole primaire
0580728B,58300,Saint-Léger-des-Vignes,Ecole élémentaire
0580754E,58190,Nuars,Ecole élémentaire publique
0021538L,02310,Crouttes-sur-Marne,Ecole primaire
0580941H,58120,Montigny-en-Morvan,Ecole primaire
0021540N,02540,Viels-Maisons,Ecole primaire
0580942J,58250,Saint-Seine,Ecole primaire
0021549Y,02250,Voyenne,Ecole primaire
0021555E,02300,Viry-Noureuil,Ecole primaire Centre
0021569V,02120,Tupigny,Ecole primaire
0021584L,02700,Amigny-Rouy,Ecole primaire
0021600D,02220,Braine,Ecole primaire privée Sainte Marie
0021602F,02800,Charmes,Ecole primaire privée Lacordaire
0021610P,02120,Guise,Ecole primaire privée Jeanne d'Arc
0021611R,02500,Hirson,Ecole primaire privée de L'Enfant-Jésus
0021612S,02001,Laon,Ecole primaire privée La Providence
0021619Z,02360,Rozoy-sur-Serre,Ecole primaire privée Jeanne d'Arc
0021636T,02580,Etréaupont,Ecole primaire
0021641Y,02360,Rozoy-sur-Serre,Ecole primaire
0021642Z,02820,Saint-Erme-Outre-et-Ramecourt,Ecole primaire
0021645C,02370,Vailly-sur-Aisne,Ecole primaire raymond genty
0021649G,02000,Laon,Ecole maternelle Hélène Boucher
0021650H,02140,Plomion,Ecole primaire
0021669D,02450,Boué,Ecole primaire
0590234J,59650,Villeneuve-d'Ascq,Ecole maternelle BORIS VIAN
0021672G,02400,Château-Thierry,Ecole primaire
0021673H,02650,Crézancy,Ecole primaire
0021675K,02830,Saint-Michel,Ecole primaire Maurice Brugnon
0021677M,02390,Thenelles,Ecole primaire
0021679P,02630,Wassigny,Ecole primaire Marcel Foulon
0590303J,59580,Aniche,Ecole primaire François Wartel
0021680R,02310,Nogent-l'Artaud,Ecole primaire
0590380T,59500,Douai,Ecole élémentaire Jules et Léon Maurice
0021684V,02110,Bohain-en-Vermandois,Ecole maternelle Les Torrents
0590413D,59500,Douai,Ecole maternelle Jean de La Fontaine
0590415F,59500,Douai,Ecole maternelle Bernard de Lattre
0021698K,02500,Hirson,Ecole primaire Georges Clémenceau
0590423P,59210,Coudekerque-Branche,Ecole primaire Charlie Chaplin
0021707V,02840,Athies-sous-Laon,Ecole maternelle
0590458C,59580,Aniche,Ecole maternelle Marcel Cachin
0021719H,02640,Saint-Simon,Ecole primaire
0590471S,59112,Annoeullin,Ecole primaire Anne Frank
0021770N,02860,Bruyères-et-Montbérault,Ecole primaire
0590503B,59280,Armentières,Ecole maternelle Léo Lagrange
0021800W,02510,Etreux,Ecole primaire Lucien Manesse
0590519U,59280,Armentières,Ecole primaire Jean Macé
0021829C,02590,Etreillers,Ecole primaire Pierre et Marie Curie
0590557K,59620,Aulnoye-Aymeries,Ecole primaire Paul Stiévenart
0590575E,59400,Awoingt,Ecole primaire de la Source
0590606N,59221,Bauvin,Ecole primaire Jules Ferry niveau 2
0590650L,59270,Berthen,Ecole primaire Evariste Vandewalle
0021875C,02300,Chauny,Ecole maternelle Les Linières
0590659W,59192,Beuvrages,Ecole maternelle Joliot-Curie
0590663A,59310,Beuvry-la-Forêt,Ecole élémentaire les trois arbres
0021934S,02000,Aulnois-sous-Laon,Ecole maternelle
0590705W,59168,Boussois,Ecole primaire Ernest Carlin
0021940Y,02210,Oulchy-le-Château,Ecole primaire
0590716H,59860,Bruay-sur-l'Escaut,Ecole primaire Emile Zola
0021945D,02110,Seboncourt,Ecole primaire
0590717J,59860,Bruay-sur-l'Escaut,Ecole primaire Léo Lagrange
0590751W,59400,Cambrai,Ecole maternelle Ferdinand Buisson
0021963Y,02360,Brunehamel,Ecole primaire
0590756B,59400,Cambrai,Ecole primaire Ferdinand Buisson
0021965A,02390,Mont-d'Origny,Ecole primaire Jean Moulin
0590812M,59217,Cattenières,Ecole primaire des Chataigniers
0021966B,02000,Chéry-lès-Pouilly,Ecole primaire
0590825B,59400,Cauroir,Ecole primaire Yvonne Pagniez
0022004T,02120,Le Hérie-la-Viéville,Ecole primaire privée Notre-Dame Victoires
0590836N,59152,Chéreng,Ecole primaire Jules Ferry
0590867X,59149,Cousolre,Ecole primaire
0590868Y,59149,Cousolre,Ecole maternelle Léon Déjardin
0590888V,59170,Croix,ECOLE PRIMAIRE LUCIE AUBRAC
0590926L,59890,Deûlémont,Ecole primaire Guynemer
0590929P,59400,Doignies,Ecole primaire niveau 1 RPI 2
0590939A,59500,Douai,Ecole maternelle Leclerc de Hautecloque
0590957V,59630,Drincham,Ecole primaire
0591010C,59162,Ostricourt,Ecole maternelle Pierre et Marie Curie
0591051X,59710,Pont-à-Marcq,Ecole primaire - Groupe Philippe-Laurent Roland
0591102C,59161,Escaudoeuvres,Ecole primaire Joliot-Curie
0591121Y,59161,Eswars,Ecole primaire RPI 26
0591149D,59750,Feignies,Ecole primaire Louis Pergaud
0591156L,59740,Felleries,Ecole primaire
0591180M,59491,Villeneuve-d'Ascq,Ecole primaire Jean Jaurès
0591184S,59267,Flesquières,Ecole maternelle RPI 6
0591197F,59219,Floyon,Ecole primaire Le Centre
0591207S,59222,Forest-en-Cambrésis,Ecole primaire
0591220F,59610,Fourmies,Ecole primaire Jacques Prévert
0591223J,59610,Fourmies,Ecole primaire Louis Aragon
0591228P,59236,Frelinghien,Ecole primaire Pasteur
0591232U,59970,Fresnes-sur-Escaut,Ecole primaire Pierre et Marie Curie niveau 1
0591281X,59760,Grande-Synthe,Ecole primaire Jean Moulin
0591284A,59760,Grande-Synthe,Ecole maternelle Clemenceau
0591307A,59320,Hallennes-lez-Haubourdin,Ecole primaire Roger Salengro
0591325V,59198,Haspres,Ecole maternelle Henri Barbusse
0591332C,59320,Haubourdin,Ecole maternelle Louis Cordonnier
0591342N,59121,Haulchin,Ecole élémentaire Irène et Frédéric Joliot-Curie
0591347U,59330,Hautmont,Ecole primaire Victor Hugo
0591350X,59330,Hautmont,Groupe scolaire Georges Fontaine - Le Muguet
0591360H,59255,Haveluy,Ecole primaire du Centre
0591361J,59660,Haverskerque,Ecole primaire Antoine de Saint Exupéry
0591397Y,59510,Hem,Ecole maternelle Jean de La Fontaine
0591399A,59510,Hem,Ecole maternelle Marcel Pagnol
0591402D,59247,Hem-Lenglet,Ecole primaire de la Sensée - RPI 23
0591423B,59980,Honnechy,Ecole primaire
0591537A,59000,Lille,Ecole maternelle Bichat
0591545J,59000,Lille,Ecole primaire Viala-Voltaire
0591557X,59000,Lille,Ecole maternelle Victor Hugo
0591560A,59000,Lille,Ecole maternelle La Bruyère
0591574R,59000,Lille,Ecole primaire Descartes - Montesquieu
0591591J,59000,Lille,Ecole maternelle Maurice Bouchor
0591594M,59000,Lille,Ecole maternelle Les Petits Pouchins
0591613H,59000,Lille,Ecole régionale du premier degré Ernest Couteaux
0591630B,59800,Lille,Ecole maternelle Antoine Brasseur
0591635G,59800,Lille,Ecole primaire Lavoisier - Gounod
0591677C,59630,Looberghe,Ecole primaire Marcel Valcke
0591681G,59279,Loon-Plage,Ecole maternelle Victor Hugo
0591704G,59720,Louvroil,Ecole primaire Suzanne Lanoy-Blin
0591723C,59110,La Madeleine,Ecole maternelle du Centre
0591728H,59134,Le Maisnil,Ecole primaire Alexis Delannoy
0591760T,59700,Marcq-en-Baroeul,Ecole maternelle Marie Curie
0591782S,59770,Marly,Ecole primaire Marie Curie
0591800L,59241,Masnières,Ecole maternelle Elsa Triolet
0591814B,59600,Maubeuge,Ecole maternelle Faubourg de Mons
0591882A,59225,Montigny-en-Cambrésis,Ecole primaire Les Petits Prés Verts
0591887F,59182,Montigny-en-Ostrevent,Ecole maternelle Victor Hugo
0591892L,59190,Morbecque,Ecole primaire La Motte Au Bois
0591895P,59158,Mortagne-du-Nord,Ecole primaire des deux vallées
0591901W,59420,Mouvaux,Ecole maternelle Victor Hugo
0591944T,59282,Noyelles-sur-Selle,Ecole primaire La Clé des Champs
0591947W,59570,Mecquignies,Ecole primaire du Centre
0591957G,59264,Onnaing,Ecole primaire Jean Ferrat
0591970W,59530,Le Quesnoy,Ecole maternelle Docteur Averill
0592008M,59173,Renescure,Ecole primaire Philippe de Commynes
0592021B,59172,Roeulx,Ecole élémentaire Condorcet niveau 2
0022051U,02720,Homblières,Ecole élémentaire
0022066K,02200,Soissons,Ecole élémentaire d'application Centre
0022072S,02200,Soissons,Ecole élémentaire de La Gare
0022076W,02200,Villeneuve-Saint-Germain,A COMPLETER
0022133H,02100,Saint-Quentin,Ecole maternelle Paule Polvent
0030151Y,03500,Saint-Pourçain-sur-Sioule,Ecole élémentaire Michelet Berthelot
0030154B,03110,Saint-Pont,Ecole élémentaire
0030159G,03110,Saint-Rémy-en-Rollat,Ecole maternelle
0030174Y,03220,Saint-Léon,Ecole Primaire
0030175Z,03130,Saint-Léger-sur-Vouzance,Ecole élémentaire
0030178C,03440,Saint-Hilaire,Ecole Primaire
0030182G,03260,Saint-Germain-des-Fossés,Ecole élémentaire Les Aures
0030188N,03310,Saint-Genest,Ecole maternelle
0030201C,03470,Saligny-sur-Roudon,Ecole Primaire
0030204F,03500,Saulcet,Ecole élémentaire
0030205G,03800,Saulzet,Ecole élémentaire
0030212P,03220,Sorbier,Ecole élémentaire
0030221Z,03240,Le Theil,Ecole Primaire
0030226E,03230,Thiel-sur-Acolin,Ecole Primaire
0030233M,03380,Treignat,Ecole des Tilleuls
0030267Z,03380,Quinssaines,Ecole Primaire
0030268A,03190,Reugny,Ecole élémentaire
0030269B,03240,Rocles,Ecole Elementaire
0030270C,03150,Rongères,Ecole Primaire
0030351R,03500,Monétay-sur-Allier,Ecole élémentaire Tress Allier
0030363D,03800,Monteignet-sur-l'Andelot,Ecole élémentaire
0030379W,03100,Montluçon,Ecole maternelle Marx Dormoy
0030383A,03100,Montluçon,Ecole maternelle Voltaire
0030399T,03130,Lenax,Ecole élémentaire
0030422T,03260,Magnet,Ecole primaire
0030426X,03260,Marcenat,Ecole élémentaire
0030430B,03270,Mariol,Ecole Primaire
0030433E,03250,Le Mayet-de-Montagne,Ecole primaire Yves Duteil
0030438K,03360,Meaulne-Vitray,Ecole Primaire
0030443R,03510,Molinet,Ecole Primaire
0030453B,03200,Vichy,Ecole élémentaire Georges Mechin
0030459H,03350,Le Vilhain,Ecole maternelle
0030480F,03190,Vaux,Ecole Primaire Saint-Exupéry
0030483J,03190,Venas,Ecole élémentaire
0030484K,03110,Vendat,Ecole élémentaire Les Coursières
0030499B,03200,Vichy,Ecole élémentaire Jacques Laurent
0030500C,03200,Vichy,Ecole maternelle La Colline
0030501D,03200,Vichy,Ecole élémentaire Pierre Coulon
0030513S,03370,Chazemais,Ecole élémentaire
0030525E,03110,Cognat-Lyonne,Ecole Primaire
0030528H,03600,Commentry,Ecole élémentaire Edith Busseron
0030536S,03430,Cosne-d'Allier,Ecole élémentaire
0030541X,03470,Coulanges,Ecole élémentaire
0030565Y,03800,Gannat,Ecole maternelle Eugène Bannier
0030591B,03800,Jenzat,Ecole élémentaire
0030608V,03300,Creuzier-le-Vieux,Ecole élémentaire Les Arloings
0030611Y,03300,Cusset,Ecole élémentaire Liandon
0030613A,03150,Boucé,Ecole Primaire L.Aime-J.Jutier
0030629T,03410,Domérat,Ecole élémentaire Victor Hugo
0030638C,03170,Doyet,Ecole primaire Lamartine
0030641F,03310,Durdat-Larequille,Ecole primaire Larequille
0600897Z,60430,Warluis,Ecole primaire
0030659A,03350,Cérilly,Ecole élémentaire Charles Louis Philippe
0600901D,60380,Bazancourt,Ecole élémentaire
0030670M,03380,La Chapelaude,Ecole primaire Fargin Fayolle
0600902E,60112,Crillon,Ecole primaire
0030680Y,03360,Braize,Ecole élémentaire
0600917W,60650,Senantes,Ecole primaire
0030681Z,03500,Bransat,Ecole maternelle
0600933N,60150,Coudun,Ecole primaire
0030695P,03270,Busset,Ecole primaire J. ROUCHON
0600951H,60700,Pont-Sainte-Maxence,Ecole primaire Ferdinand Buisson - Max Drains
0030723V,03000,Avermes,Ecole élémentaire Jean Moulin
0600966Z,60410,Verberie,Ecole élémentaire Groupe A
0030729B,03500,Bayet,Ecole Primaire
0600967A,60410,Verberie,Ecole élémentaire Groupe B Les Remparts
0030732E,03390,Beaune-d'Allier,Ecole élémentaire
0600987X,60440,Chèvreville,Ecole primaire Sennevieres
0030735H,03330,Bellenaves,Ecole Primaire Félicien Barthoux
0600996G,60440,Péroy-les-Gombries,Ecole primaire
0030747W,03120,Billezois,Ecole Primaire
0601003P,60440,Versigny,Ecole élémentaire
0030762M,03100,Montluçon,Ecole maternelle Louise Michel
0601004R,60400,Noyon,Ecole élémentaire les Goélands
0030768U,03000,Moulins,Ecole maternelle les coquelicots
0601012Z,60400,Appilly,Ecole élémentaire
0030804H,03120,Lapalisse,Ecole maternelle Arc en Ciel
0601017E,60400,Caisnes,Ecole élémentaire
0030819Z,03100,Montluçon,Ecole élémentaire privée Saint Paul
0601021J,60400,Grandrû,Ecole élémentaire
0030828J,03500,Saint-Pourçain-sur-Sioule,Ecole élémentaire privée Notre-Dame des Victoires
0601029T,60400,Porquéricourt,Ecole maternelle
0030845C,03800,Gannat,Ecole maternelle Champ de Foire
0601039D,60530,Crouy-en-Thelle,Ecole primaire Nicolas Le Brun
0601042G,60660,Cires-lès-Mello,Ecole élémentaire du Tillet
0030865Z,03410,Domérat,Ecole maternelle Françoise Dolto
0601050R,60730,Ully-Saint-Georges,Ecole primaire Jean de la Fontaine
0601054V,60170,Cambronne-lès-Ribécourt,Ecole primaire les Acacias
0030875K,03600,Commentry,Ecole maternelle du Bois
0601062D,60170,Ribécourt-Dreslincourt,Ecole primaire Jean Hochet
0030876L,03100,Montluçon,Ecole maternelle Jean Giono
0601078W,60490,Vandélicourt,Ecole élémentaire
0601085D,60510,Essuiles,Ecole élémentaire
0601087F,60130,Fournival,Ecole primaire
0030927S,03300,Cusset,Ecole primaire Jean Giraudoux
0601089H,60190,Grandvillers-aux-Bois,Ecole maternelle
0030933Y,03320,Le Veurdre,Ecole Primaire
0601091K,60130,Lieuvillers,Ecole primaire
0030952U,03200,Vichy,Ecole maternelle Sévigné
0601106B,60130,Saint-Remy-en-l'Eau,Ecole élémentaire
0030959B,03800,Gannat,Ecole maternelle Le Malcourlet
0601126Y,60128,Mortefontaine,Ecole primaire
0601128A,60560,Orry-la-Ville,Ecole élémentaire Henri Delaunay
0040088Z,04420,Le Brusquet,Groupe scolaire Marcel Roux
0040091C,04700,Le Castellet,Ecole maternelle
0040108W,04250,Clamensane,Ecole primaire
0601219Z,60130,Saint-Just-en-Chaussée,Ecole élémentaire le Moulin
0040117F,04000,Digne-les-Bains,Ecole primaire PAUL MARTIN
0601271F,60200,Compiègne,Ecole élémentaire Albert Robida Grp A
